Customer_ID,Product_ID,Transaction_ID,Frequency,Average_Order_Value,Most_Frequent_Category,Time_Between_Purchases,Region,Churn_Probability,T_Purchases,Launch_Date,Date,Season,Preferred_Purchase_Times,Retention_Strategy,Recency,Recency_Normalized,Frequency_Normalized,T_Purchases_Normalized,Segment,Cluster
CUST_2H3FIT,PROD_LLJO26,TRANS_BN90ZR,11,138.91,Electronics,36,South America,0.45,1699.1,2022-10-31,2023-04-20,Fall,Evening,Email Campaign,256,0.6839611858596844,0.18898165540195802,-1.1631791754076282,Other,0
CUST_ASIAQN,PROD_A0GGZN,TRANS_XZMA7R,4,179.37,Home,12,Europe,0.28,3526.92,2021-11-16,2023-04-19,Summer,Evening,Discount,257,0.6934126935002204,-1.0777727138537216,-0.5252583097491815,Not Regular,0
CUST_5VD1AF,PROD_9FP1KM,TRANS_2REXOG,18,47.25,Clothing,54,Europe,0.55,3666.4,2020-11-03,2023-06-07,Fall,Afternoon,Email Campaign,208,0.23028881911395327,1.4557360246576379,-0.47657889802262193,At Risk,0
CUST_5C973R,PROD_DNB9HU,TRANS_4IYIU0,7,165.36,Home,12,Asia,0.76,2028.94,2022-09-30,2023-09-24,Winter,Evening,Discount,99,-0.7999255137044777,-0.5348779841727161,-1.0480629066673899,At Risk,2
CUST_G8HU0Y,PROD_67CKAZ,TRANS_21LPF7,13,169.44,Electronics,31,South America,0.36,4558.4,2022-11-01,2023-01-29,Spring,Evening,Loyalty Program,337,1.4495333047431056,0.5509114751892951,-0.1652651952688858,At Risk,0
CUST_2KHJ4Y,PROD_0VHFS7,TRANS_9AIGGW,1,138.29,Electronics,66,Asia,0.27,2053.08,2020-09-30,2023-05-18,Summer,Afternoon,Email Campaign,228,0.41931897192467454,-1.6206674435347272,-1.0396378923350187,Not Regular,0
CUST_OL6Z6A,PROD_SMVS94,TRANS_7Y5D04,12,101.33,Sports,87,North America,0.95,3860.4,2022-06-09,2023-04-14,Summer,Afternoon,Discount,262,0.7406702317029007,0.36994656529562653,-0.4088716577376165,At Risk,0
CUST_80XT8K,PROD_85FXS1,TRANS_CF2UIG,2,51.68,Clothing,37,South America,0.27,7406.47,2022-03-26,2023-03-14,Winter,Evening,Discount,293,1.0336669685595188,-1.4397025336410587,0.8287294430739773,At Risk,1
CUST_MSNQX0,PROD_SFPDI5,TRANS_I69T9V,14,48.23,Home,69,South America,0.46,933.63,2020-12-12,2023-01-22,Winter,Evening,Email Campaign,344,1.515693858226858,0.7318763850829636,-1.4303330992270256,At Risk,0
CUST_4XM4T8,PROD_AYJHII,TRANS_QODMWY,19,58.92,Sports,50,South America,0.97,6527.21,2021-03-24,2023-11-07,Fall,Evening,Discount,55,-1.2157918498880647,1.6367009345513064,0.5218620817698851,At Risk,2
CUST_NMIM67,PROD_QRJOQQ,TRANS_X1J6WF,5,37.72,Sports,79,Asia,0.16,9937.12,2022-08-14,2023-10-12,Winter,Afternoon,Loyalty Program,81,-0.9700526512341269,-0.8968078039600532,1.7119424720804157,Not Regular,2
CUST_G3CBW1,PROD_4XTTVE,TRANS_XROLFW,2,61.25,Electronics,10,North America,0.98,3585.45,2021-03-01,2023-08-25,Fall,Afternoon,Email Campaign,129,-0.5163802844883958,-1.4397025336410587,-0.5048309655539168,At Risk,2
CUST_LMWRL7,PROD_JSTXXZ,TRANS_6QAZQ4,9,46.48,Clothing,39,North America,0.59,6308.82,2021-11-09,2023-11-24,Fall,Evening,Discount,38,-1.3764674797771776,-0.17294816438537905,0.4456425755542029,At Risk,2
CUST_BP1CZW,PROD_38AOV5,TRANS_YH9TT9,19,23.99,Sports,17,South America,0.93,4860.19,2020-08-23,2023-05-22,Summer,Afternoon,Discount,224,0.38151294136253033,1.6367009345513064,-0.059938555858515784,At Risk,1
CUST_V6TG3I,PROD_IS1C0S,TRANS_XHU7MO,4,182.98,Clothing,59,Europe,0.94,4384.96,2020-11-10,2023-01-02,Fall,Evening,Email Campaign,364,1.7047240110375792,-1.0777727138537216,-0.22579686410925343,At Risk,0
CUST_PBDQSR,PROD_0SQDEQ,TRANS_21805X,5,99.78,Home,52,North America,0.44,3917.09,2020-10-29,2023-06-18,Winter,Evening,Email Campaign,197,0.12632223506805657,-0.8968078039600532,-0.38908648530587964,Not Regular,0
CUST_4D8TQ7,PROD_9Y47SE,TRANS_URXRPO,2,144.04,Electronics,78,Europe,0.11,6457.94,2021-03-20,2023-01-28,Summer,Evening,Email Campaign,338,1.4589848123836415,-1.4397025336410587,0.4976864089114194,At Risk,1
CUST_PE88A7,PROD_IGQ04T,TRANS_4GHR21,16,147.99,Home,28,Asia,0.54,9793.48,2022-04-10,2023-01-15,Fall,Afternoon,Email Campaign,351,1.5818544117106104,1.0938062048703008,1.6618111937580535,At Risk,1
CUST_FQDNFA,PROD_RA21TR,TRANS_XZ3ATJ,6,43.79,Electronics,48,North America,0.78,2071.72,2021-07-08,2023-09-07,Winter,Afternoon,Loyalty Program,116,-0.6392498838153646,-0.7158428940663847,-1.0331324131653667,At Risk,2
CUST_5LNW0H,PROD_KK674F,TRANS_6Z1WNL,9,140.74,Electronics,33,Europe,0.97,4032.5,2020-12-07,2023-09-11,Summer,Afternoon,Email Campaign,112,-0.6770559143775089,-0.17294816438537905,-0.34880765746416587,At Risk,2
CUST_5YEMJD,PROD_BQZPQW,TRANS_QFA4GW,10,168.79,Sports,71,Asia,0.6,4170.08,2022-03-29,2023-07-20,Summer,Evening,Loyalty Program,165,-0.17612600942909748,0.008016745508289477,-0.3007913578847275,At Risk,2
CUST_QU7QVL,PROD_LMZ8FO,TRANS_RKYSMN,4,180.07,Clothing,38,Europe,0.28,5093.39,2021-07-13,2023-10-05,Spring,Afternoon,Discount,88,-0.9038920977503744,-1.0777727138537216,0.021449735040779655,Not Regular,2
CUST_29DO3Z,PROD_G9QAZF,TRANS_RRYEW5,3,151.9,Home,33,Europe,0.24,1686.06,2022-08-08,2023-10-15,Winter,Afternoon,Discount,78,-0.9984071741557351,-1.2587376237473902,-1.1677302187752387,Not Regular,2
CUST_L6Y0LJ,PROD_QSBLCY,TRANS_5LGI9O,13,54.2,Clothing,69,North America,0.26,8156.23,2022-07-20,2023-10-03,Summer,Evening,Email Campaign,90,-0.8849890824693023,0.5509114751892951,1.090400476455862,Top Customer,2
CUST_3CJ2R1,PROD_NV7ANP,TRANS_Z85T6R,4,70.04,Sports,33,Asia,0.18,4456.32,2022-02-04,2023-07-25,Fall,Afternoon,Loyalty Program,160,-0.2233835476317778,-1.0777727138537216,-0.20089176788895463,Not Regular,2
CUST_TWR7Q9,PROD_MKX3U2,TRANS_XWNAU4,11,79.79,Electronics,24,South America,0.92,3278.04,2021-04-26,2023-11-07,Spring,Morning,Loyalty Program,55,-1.2157918498880647,0.18898165540195802,-0.6121190208941927,At Risk,2
CUST_BT8F7N,PROD_VP1C85,TRANS_BN4GLI,7,141.62,Home,34,Asia,0.24,8513.1,2021-08-27,2023-06-16,Summer,Evening,Discount,199,0.1452252503491287,-0.5348779841727161,1.2149503880048824,Top Customer,1
CUST_44WU3H,PROD_DLW1HT,TRANS_OZSTC6,17,25.67,Electronics,25,North America,0.99,9777.23,2021-03-01,2023-06-03,Summer,Morning,Email Campaign,212,0.26809484967609754,1.2747711147639693,1.6561398398682012,Top Customer,1
CUST_9CCEOL,PROD_V7YPR0,TRANS_3C9IZ7,8,121.15,Home,73,North America,0.04,7429.9,2021-12-01,2023-01-18,Fall,Evening,Loyalty Program,348,1.5534998887890024,-0.3539130742790476,0.836906662867161,At Risk,1
CUST_5CMJNC,PROD_REQDDN,TRANS_E7YDDY,5,159.29,Clothing,23,North America,1.0,9884.14,2020-03-12,2023-01-31,Winter,Morning,Loyalty Program,335,1.4306302894620335,-0.8968078039600532,1.6934521133675307,At Risk,1
CUST_RIOS1B,PROD_7M7FN6,TRANS_P8HBGJ,7,143.17,Electronics,71,North America,0.75,9939.87,2021-09-29,2023-10-04,Spring,Evening,Discount,89,-0.8944405901098383,-0.5348779841727161,1.7129022396617752,Top Customer,1
CUST_UHM0W0,PROD_I8BK7H,TRANS_DRQVRX,18,112.91,Sports,10,South America,0.3,481.09,2020-03-12,2023-10-28,Winter,Afternoon,Loyalty Program,65,-1.1212767734827038,1.4557360246576379,-1.5882724524155634,Other,2
CUST_XYCV8A,PROD_GEO4BY,TRANS_OHOMTE,2,87.07,Sports,61,Europe,0.25,4389.88,2020-01-16,2023-03-16,Winter,Afternoon,Loyalty Program,291,1.0147639532784467,-1.4397025336410587,-0.22407975265460273,At Risk,0
CUST_1XBJ9U,PROD_ZDFDHP,TRANS_7QZT0M,16,90.59,Electronics,6,South America,0.45,6536.15,2022-08-10,2023-04-13,Spring,Morning,Email Campaign,263,0.7501217393434368,1.0938062048703008,0.5249821989252867,Other,1
CUST_SG4B8W,PROD_HGV6XV,TRANS_KR47ZL,16,155.46,Electronics,71,Asia,0.28,514.55,2022-03-10,2023-09-23,Fall,Afternoon,Loyalty Program,100,-0.7904740060639417,1.0938062048703008,-1.576594698498366,Other,2
CUST_YNB5QL,PROD_QKQZCD,TRANS_GNTBSC,1,29.43,Clothing,72,North America,0.37,6446.33,2022-08-28,2023-09-11,Fall,Afternoon,Loyalty Program,112,-0.6770559143775089,-1.6206674435347272,0.49363444468611584,Not Regular,2
CUST_UL763Z,PROD_APLSZ5,TRANS_J4I69W,11,187.02,Home,47,North America,0.36,3209.14,2020-12-20,2023-08-17,Winter,Morning,Discount,137,-0.44076822336410726,0.18898165540195802,-0.6361655613871663,Other,2
CUST_PLP8HF,PROD_06OMWE,TRANS_V5XD0N,8,193.61,Clothing,31,North America,0.09,4250.12,2022-05-29,2023-08-19,Summer,Evening,Discount,135,-0.4596712386451794,-0.3539130742790476,-0.27285688617126447,Other,2
CUST_RB6RRC,PROD_FZPBJ0,TRANS_SUV302,1,165.46,Clothing,75,North America,0.49,3399.96,2021-03-30,2023-01-08,Summer,Morning,Discount,358,1.648014965194363,-1.6206674435347272,-0.5695681614326057,At Risk,0
CUST_E8RVBQ,PROD_Q33F7S,TRANS_KWSVZ1,5,141.7,Clothing,27,North America,0.54,4979.03,2022-08-02,2023-11-06,Winter,Evening,Email Campaign,56,-1.2063403422475285,-0.8968078039600532,-0.018462636088051584,At Risk,2
CUST_BY0GMM,PROD_W0BL0N,TRANS_ZHY8NX,9,76.18,Clothing,88,Asia,0.92,6700.23,2021-09-08,2023-08-07,Summer,Evening,Email Campaign,147,-0.34625314695874665,-0.17294816438537905,0.5822471679250996,At Risk,2
CUST_A2HM1J,PROD_LPYYDT,TRANS_YRXSEE,11,105.41,Clothing,19,Europe,0.35,8484.97,2021-02-21,2023-10-07,Fall,Morning,Discount,86,-0.9227951130314466,0.18898165540195802,1.2051328381635562,Top Customer,2
CUST_8G18L2,PROD_AYH2IY,TRANS_OO6E0E,12,195.98,Clothing,70,North America,0.94,2131.19,2020-01-23,2023-05-16,Spring,Afternoon,Discount,230,0.4382219872057467,0.36994656529562653,-1.0123770029604735,At Risk,0
CUST_G141RX,PROD_57UL5X,TRANS_RL8R7X,13,40.69,Electronics,19,Asia,0.82,5732.6,2022-04-13,2023-02-26,Summer,Afternoon,Email Campaign,309,1.1848910908080958,0.5509114751892951,0.24453811165200812,At Risk,1
CUST_VZC5ZH,PROD_7PA2MO,TRANS_3CFDED,8,168.99,Electronics,75,Europe,0.04,4436.29,2020-05-15,2023-12-22,Winter,Morning,Discount,10,-1.6411096937121874,-0.3539130742790476,-0.20788236594518475,Other,2
CUST_FSDTLK,PROD_B4YT9N,TRANS_YS9IFG,7,52.13,Electronics,40,North America,0.08,549.09,2021-04-22,2023-04-14,Winter,Evening,Discount,262,0.7406702317029007,-0.5348779841727161,-1.5645400176764894,Other,0
CUST_JPDA4D,PROD_C2Y1TF,TRANS_I949BV,12,121.6,Electronics,30,South America,0.76,3714.99,2021-06-21,2023-02-14,Fall,Afternoon,Loyalty Program,321,1.2983091824945285,0.36994656529562653,-0.4596206773759808,At Risk,0
CUST_H4OVTS,PROD_VCTO6F,TRANS_35JLNS,17,39.01,Sports,74,Europe,0.13,7543.91,2020-09-10,2023-03-17,Winter,Afternoon,Discount,290,1.0053124456379106,1.2747711147639693,0.8766968817583646,At Risk,1
CUST_Q19TO6,PROD_2WKC14,TRANS_TFY65O,13,161.93,Clothing,80,South America,0.23,6924.0,2022-07-18,2023-11-02,Summer,Evening,Email Campaign,60,-1.1685343116853841,0.5509114751892951,0.6603443285363145,Other,2
CUST_QH5U2G,PROD_XISEVK,TRANS_BI87V2,10,69.27,Home,48,Asia,0.12,955.14,2022-11-03,2023-08-25,Summer,Morning,Email Campaign,129,-0.5163802844883958,0.008016745508289477,-1.4228259717088272,Other,0
CUST_REKKSM,PROD_60BHU4,TRANS_7EEQ6S,5,78.06,Clothing,39,Asia,0.8,5970.92,2021-02-18,2023-12-07,Fall,Evening,Discount,25,-1.4993370791041465,-0.8968078039600532,0.3277133152845982,At Risk,2
CUST_12P5SP,PROD_9HDA2G,TRANS_HVCWAE,4,37.09,Sports,76,Europe,0.05,6353.19,2022-08-04,2023-03-06,Spring,Afternoon,Discount,301,1.1092790296838073,-1.0777727138537216,0.46112798922144865,At Risk,1
CUST_934TJ6,PROD_ZNVVA4,TRANS_Y85IB3,10,105.61,Clothing,57,Asia,0.37,6435.21,2020-12-27,2023-11-13,Winter,Afternoon,Loyalty Program,49,-1.272500895731281,0.008016745508289477,0.4897534935934908,Other,2
CUST_FJPJ16,PROD_LIHMIO,TRANS_1B9BW3,13,65.97,Clothing,22,Asia,0.08,3889.56,2022-09-22,2023-04-16,Winter,Morning,Discount,260,0.7217672164218286,0.5509114751892951,-0.3986946313112725,Other,0
CUST_4LYGW1,PROD_CHEZ3Y,TRANS_BVJ93X,10,44.92,Electronics,71,North America,0.15,6286.12,2022-10-02,2023-12-19,Spring,Morning,Loyalty Program,13,-1.6127551707905792,0.008016745508289477,0.43772013042807084,Other,2
CUST_SASUTZ,PROD_KDYCI7,TRANS_8M3BGP,13,175.81,Clothing,60,Europe,0.25,2173.1,2022-04-13,2023-12-06,Summer,Morning,Email Campaign,26,-1.4898855714636103,0.5509114751892951,-0.997750145020553,Other,2
CUST_1F6ITR,PROD_6JC3IE,TRANS_9N8RPV,4,48.07,Home,74,North America,0.94,182.6,2021-05-22,2023-04-07,Spring,Morning,Loyalty Program,269,0.8068307851866532,-1.0777727138537216,-1.6924473707283019,At Risk,0
CUST_A8JHLW,PROD_W15OP6,TRANS_2RANWV,8,82.69,Clothing,67,Asia,0.28,7565.07,2022-05-17,2023-12-27,Summer,Morning,Loyalty Program,5,-1.6883672319148677,-0.3539130742790476,0.8840818570389352,Top Customer,2
CUST_W8IZWM,PROD_JV3HSP,TRANS_VR2LMK,1,156.04,Electronics,45,North America,0.53,9792.55,2020-08-04,2023-12-02,Fall,Afternoon,Loyalty Program,30,-1.4520795409014662,-1.6206674435347272,1.661486617812357,At Risk,2
CUST_6P1OQQ,PROD_VE9FAM,TRANS_DIIJRJ,8,46.0,Clothing,79,Asia,0.43,2945.99,2020-07-10,2023-06-23,Fall,Morning,Loyalty Program,192,0.07906469686537625,-0.3539130742790476,-0.7280065937634508,Other,0
CUST_A6XFY9,PROD_FOM3QG,TRANS_T1L4M8,1,186.54,Sports,72,South America,0.22,5576.28,2021-03-21,2023-01-25,Summer,Morning,Discount,341,1.4873393353052498,-1.6206674435347272,0.1899814322635953,At Risk,1
CUST_MW3LV2,PROD_BRGWOE,TRANS_JG2Z1Q,14,157.37,Sports,36,Asia,0.37,726.95,2020-10-19,2023-04-16,Summer,Evening,Email Campaign,260,0.7217672164218286,0.7318763850829636,-1.502465740578082,Other,0
CUST_A9PHFE,PROD_W78Y00,TRANS_KX7QRM,16,175.7,Clothing,81,Asia,0.76,3128.79,2022-11-07,2023-06-03,Winter,Evening,Email Campaign,212,0.26809484967609754,1.0938062048703008,-0.664208225082528,At Risk,0
CUST_HOB0YK,PROD_OE7XRF,TRANS_JE2056,10,138.67,Sports,42,Europe,0.74,8802.47,2022-01-11,2023-09-30,Fall,Morning,Loyalty Program,93,-0.8566345595476941,0.008016745508289477,1.3159423680114388,Top Customer,2
CUST_BRRRRU,PROD_VK226H,TRANS_JJBKYL,3,172.19,Electronics,51,North America,0.24,843.02,2022-10-07,2023-08-02,Summer,Evening,Loyalty Program,152,-0.29899560875606634,-1.2587376237473902,-1.4619565685168416,Not Regular,0
CUST_DA0I76,PROD_FXKWAD,TRANS_OS9M5E,8,30.95,Home,60,Asia,0.25,7759.72,2021-08-11,2023-09-24,Fall,Evening,Loyalty Program,99,-0.7999255137044777,-0.3539130742790476,0.9520159514795349,Top Customer,2
CUST_7GAVM9,PROD_PUWL9C,TRANS_1N44GP,11,69.05,Home,74,North America,0.04,3421.3,2020-01-04,2023-06-30,Summer,Morning,Loyalty Program,185,0.0129041433816238,0.18898165540195802,-0.5621203650012551,Other,0
CUST_Z6QSTD,PROD_ZKTGY4,TRANS_MPRMR4,5,32.18,Sports,61,North America,0.23,2682.46,2022-12-24,2023-02-08,Spring,Afternoon,Loyalty Program,327,1.355018228337745,-0.8968078039600532,-0.8199802485691593,At Risk,0
CUST_HXOYK8,PROD_0HPPRU,TRANS_L6C5IH,7,35.98,Home,6,South America,0.08,3408.85,2021-08-11,2023-11-27,Summer,Afternoon,Email Campaign,35,-1.4048220026987859,-0.5348779841727161,-0.566465494596865,Other,2
CUST_VLBL5K,PROD_JQKMA9,TRANS_B1AGUQ,10,97.5,Sports,63,South America,0.39,6008.65,2022-11-03,2023-07-08,Winter,Morning,Loyalty Program,177,-0.06270791774266471,0.008016745508289477,0.34088132650085196,Other,1
CUST_5T9TN8,PROD_J0NICY,TRANS_UR3NI6,1,120.55,Electronics,25,Europe,0.86,4170.5,2020-01-01,2023-09-13,Fall,Afternoon,Discount,110,-0.695958929658581,-1.6206674435347272,-0.3006447751995744,At Risk,2
CUST_2WBGJJ,PROD_5RE3HX,TRANS_DHYRAM,19,103.19,Clothing,53,South America,0.12,666.12,2022-07-04,2023-10-15,Spring,Evening,Discount,78,-0.9984071741557351,1.6367009345513064,-1.5236957994777565,Other,2
CUST_I40LLF,PROD_J7IA73,TRANS_O0F7IU,11,61.74,Clothing,24,North America,0.49,1517.8,2020-06-28,2023-11-18,Spring,Evening,Discount,44,-1.3197584339339612,0.18898165540195802,-1.226454034498718,Other,2
CUST_7USGEB,PROD_KYQOGN,TRANS_8PY3IV,10,128.51,Clothing,19,South America,0.1,977.86,2021-06-10,2023-03-09,Fall,Evening,Email Campaign,298,1.080924506762199,0.008016745508289477,-1.4148965464548307,At Risk,0
CUST_ZYJ13O,PROD_ULSC9X,TRANS_PIZN0P,8,72.7,Home,83,South America,0.86,7231.13,2020-03-19,2023-03-16,Winter,Afternoon,Discount,291,1.0147639532784467,-0.3539130742790476,0.7675346620864884,At Risk,1
CUST_ZIMOOB,PROD_50ZMSE,TRANS_XDO4Y2,13,199.76,Home,60,South America,0.24,1666.64,2022-06-05,2023-10-22,Fall,Morning,Loyalty Program,71,-1.0645677276394876,0.5509114751892951,-1.1745079229316036,Other,2
CUST_BQQQVX,PROD_91W0VF,TRANS_3NDXUA,2,122.65,Clothing,55,Asia,0.38,567.28,2020-08-31,2023-06-25,Fall,Afternoon,Loyalty Program,190,0.06016168158430412,-1.4397025336410587,-1.5581915913837872,Not Regular,0
CUST_52EO2K,PROD_MSW50K,TRANS_QE16CC,17,91.92,Sports,76,Europe,0.12,9238.72,2020-07-05,2023-10-06,Fall,Evening,Discount,87,-0.9133436053909105,1.2747711147639693,1.4681964070543956,Top Customer,2
CUST_0H7Z3X,PROD_5N7JDT,TRANS_GCRXS0,8,180.68,Electronics,61,South America,0.13,8896.81,2022-12-20,2023-09-07,Fall,Afternoon,Discount,116,-0.6392498838153646,-0.3539130742790476,1.348867631147972,Top Customer,1
CUST_QAXZQT,PROD_TJI0KT,TRANS_25JY8J,6,39.65,Electronics,11,North America,0.51,6765.08,2022-05-16,2023-01-11,Spring,Evening,Discount,355,1.6196604422727547,-0.7158428940663847,0.6048802325255255,At Risk,1
CUST_ZJT22H,PROD_3I2T16,TRANS_TSXRLY,13,79.7,Clothing,26,North America,0.93,3050.4,2022-07-13,2023-01-23,Spring,Evening,Loyalty Program,343,1.506242350586322,0.5509114751892951,-0.6915668362471753,At Risk,0
CUST_4RESKZ,PROD_2F8I98,TRANS_A2GMGR,6,128.88,Sports,18,Europe,0.71,128.02,2020-08-06,2023-06-24,Summer,Afternoon,Loyalty Program,191,0.06961318922484018,-0.7158428940663847,-1.711496139670341,At Risk,0
CUST_7U3ZEK,PROD_TRJDBV,TRANS_POJPUF,9,99.62,Electronics,72,Europe,0.04,7129.69,2022-05-13,2023-08-28,Summer,Evening,Email Campaign,126,-0.544734807410004,-0.17294816438537905,0.7321314535580812,Other,2
CUST_S6QIFA,PROD_PSYN74,TRANS_02XSH5,13,128.57,Sports,64,Europe,0.4,711.52,2020-04-19,2023-03-15,Spring,Morning,Loyalty Program,292,1.0242154609189826,0.5509114751892951,-1.5078509092254921,At Risk,0
